Career Name,Bucket,RIASEC Profile,v_01 (R) - Hands-on,v_02 (C) - Rules,v_03 (I) - Puzzles,v_04 (S) - Helping,v_05 (A) - Creative,v_06 (E) - Leading,v_07 (C) - Routine,v_08 (R) - Outdoors,v_09 (I) - Understanding,v_10 (A) - Storytelling,v_11 (C) - Organizing,v_12 (S) - Teaching,v_13 (E) - Risk,v_14 (I) - Experimenting,e_04 (Subjects) - MANDATORY,e_06 (Extracurricular Tags),e_07 (Parent Influence),e_10 (Study Abroad),e_11 (Work Style),e_14 (Long Study Check),e_09 (Vocational Boost),e_15 (Dream Career Boost),e_05 (Class Rank Impact),e_12 (Positive Text Bonus),e_13 (Negative Filter Impact)
Mechanical Engineer,Core Technology & Engineering,R,High (RIASEC),,,,,,,High (RIASEC),,,,,,,"Mathematics,Physics","mechanical,hands_on",Bonus if parent in Core Technology & Engineering,,,,,Bonus if matches 'Mechanical Engineer' or 'Core Technology & Engineering',High Rank Bonus / Low Rank Penalty,Bonus if text matches 'Mechanical Engineer' or 'Core Technology & Engineering',Penalty if text matches 'Mechanical Engineer' or 'Core Technology & Engineering'
Civil Engineer,Core Technology & Engineering,R,High (RIASEC),,,,,,,High (RIASEC),,,,,,,"Mathematics,Physics","construction,planning",Bonus if parent in Core Technology & Engineering,,,,,Bonus if matches 'Civil Engineer' or 'Core Technology & Engineering',High Rank Bonus / Low Rank Penalty,Bonus if text matches 'Civil Engineer' or 'Core Technology & Engineering',Penalty if text matches 'Civil Engineer' or 'Core Technology & Engineering'
Electrical Engineer,Core Technology & Engineering,RI,High (RIASEC),,High (RIASEC),,,,,High (RIASEC),High (RIASEC),,,,,High (RIASEC),"Mathematics,Physics","electronics,power",Bonus if parent in Core Technology & Engineering,,,,,Bonus if matches 'Electrical Engineer' or 'Core Technology & Engineering',High Rank Bonus / Low Rank Penalty,Bonus if text matches 'Electrical Engineer' or 'Core Technology & Engineering',Penalty if text matches 'Electrical Engineer' or 'Core Technology & Engineering'
Automotive Engineer,Core Technology & Engineering,R,High (RIASEC),,,,,,,High (RIASEC),,,,,,,"Mathematics,Physics","vehicles,design",Bonus if parent in Core Technology & Engineering,,,,,Bonus if matches 'Automotive Engineer' or 'Core Technology & Engineering',High Rank Bonus / Low Rank Penalty,Bonus if text matches 'Automotive Engineer' or 'Core Technology & Engineering',Penalty if text matches 'Automotive Engineer' or 'Core Technology & Engineering'
Materials/Metallurgy Engineer,Core Technology & Engineering,RI,High (RIASEC),,High (RIASEC),,,,,High (RIASEC),High (RIASEC),,,,,High (RIASEC),"Chemistry,Physics","materials,research",Bonus if parent in Core Technology & Engineering,,,,,Bonus if matches 'Materials/Metallurgy Engineer' or 'Core Technology & Engineering',High Rank Bonus / Low Rank Penalty,Bonus if text matches 'Materials/Metallurgy Engineer' or 'Core Technology & Engineering',Penalty if text matches 'Materials/Metallurgy Engineer' or 'Core Technology & Engineering'
Data Scientist,Data AI & Analytics,IA,,,High (RIASEC),,High (RIASEC),,,,High (RIASEC),High (RIASEC),,,,High (RIASEC),"Mathematics,Computer Science,Statistics","data,new_age",Bonus if parent in Data AI & Analytics,Yes,Office/Lab Bonus,,,Bonus if matches 'Data Scientist' or 'Data AI & Analytics',,Bonus if text matches 'Data Scientist' or 'Data AI & Analytics',Penalty if text matches 'Data Scientist' or 'Data AI & Analytics'
Machine Learning Engineer,Data AI & Analytics,IA,,,High (RIASEC),,High (RIASEC),,,,High (RIASEC),High (RIASEC),,,,High (RIASEC),"Mathematics,Computer Science","ml,new_age",Bonus if parent in Data AI & Analytics,Yes,Office/Lab Bonus,,,Bonus if matches 'Machine Learning Engineer' or 'Data AI & Analytics',,Bonus if text matches 'Machine Learning Engineer' or 'Data AI & Analytics',Penalty if text matches 'Machine Learning Engineer' or 'Data AI & Analytics'
Data Analyst,Data AI & Analytics,IA,,,High (RIASEC),,High (RIASEC),,,,High (RIASEC),High (RIASEC),,,,High (RIASEC),"Mathematics,Statistics,Computer Science",analytics,Bonus if parent in Data AI & Analytics,,Office/Lab Bonus,,,Bonus if matches 'Data Analyst' or 'Data AI & Analytics',,Bonus if text matches 'Data Analyst' or 'Data AI & Analytics',Penalty if text matches 'Data Analyst' or 'Data AI & Analytics'
AI Ethics Officer,Data AI & Analytics,AE,,,,,High (RIASEC),High (RIASEC),,,,High (RIASEC),,,High (RIASEC),,"English,Social Studies","ethics,policy,new_age",Bonus if parent in Data AI & Analytics,Yes,Office/Lab Bonus,,,Bonus if matches 'AI Ethics Officer' or 'Data AI & Analytics',,Bonus if text matches 'AI Ethics Officer' or 'Data AI & Analytics',Penalty if text matches 'AI Ethics Officer' or 'Data AI & Analytics'
NLP Engineer,Data AI & Analytics,IA,,,High (RIASEC),,High (RIASEC),,,,High (RIASEC),High (RIASEC),,,,High (RIASEC),"Computer Science,Mathematics,English","nlp,new_age",Bonus if parent in Data AI & Analytics,Yes,Office/Lab Bonus,,,Bonus if matches 'NLP Engineer' or 'Data AI & Analytics',,Bonus if text matches 'NLP Engineer' or 'Data AI & Analytics',Penalty if text matches 'NLP Engineer' or 'Data AI & Analytics'
