careerId,careerName,bucket,riasec_profile,primarySubjects,tags,minQualification,top5_college_courses,baseParagraph,microprojects,why_fit
c001,Mechanical Engineer,Engineering & Core Technology,R,"[""Mathematics"",""Physics""]","[""mechanical"",""hands_on""]",B.Tech / Diploma,"B.Tech Mechanical,B.E Mechanical,B.Sc Mechanical Engineering,Diploma Mechanical,M.Tech Mechanical","You enjoy building and fixing things and like hands-on work. Mechanical engineering applies physics and math to design machines and systems. It's ideal if you like practical problem solving.","Build a small Arduino robotic arm;Design a gear mechanism model","Likes building/fixing;Comfort with physical systems;Good spatial reasoning"
c002,Civil Engineer,Engineering & Core Technology,R,"[""Mathematics"",""Physics""]","[""construction"",""planning""]",B.Tech / Diploma,"B.Tech Civil,B.E Civil,Diploma Civil,B.Sc Civil Engineering,M.Tech Structural","Civil engineers design roads, bridges and buildings. If you like drawing plans and seeing structures built, this fits.","Model a small truss bridge;Survey a local site and document","Enjoys applied maths;Likes outdoor/site work;Good at spatial tasks"
c003,Electrical Engineer,Engineering & Core Technology,RI,"[""Mathematics"",""Physics""]","[""electronics"",""power""]",B.Tech / Diploma,"B.Tech Electrical,B.E Electrical,Diploma Electrical,B.Sc Electrical,M.Tech Power Systems","Designs electrical systems and circuits. Great if you like circuits and electronics.","Assemble a basic PCB;Build a simple motor controller","Interested in electronics;Good with math;Enjoys troubleshooting"
c004,Automotive Engineer,Engineering & Core Technology,R,"[""Mathematics"",""Physics""]","[""vehicles"",""design""]",B.Tech / Diploma,"B.Tech Automotive,B.E Automotive,Diploma Automotive,BSc Automotive,M.Tech Automotive","Designs vehicles and automotive systems. Ideal for hands-on students fascinated by vehicles.","Disassemble/rebuild small engine model;Design a car component in CAD","Loves vehicles;Mechanically inclined;Good spatial reasoning"
c005,Materials/Metallurgy Engineer,Engineering & Core Technology,RI,"[""Chemistry"",""Physics""]","[""materials"",""research""]",B.Tech / Diploma,"B.Tech Materials,BSc Materials Engineering,Diploma Materials,M.Tech Metallurgy","Studies materials used in engineering — metals, polymers and ceramics.","Test metal samples;Create a small composite material sample","Likes lab work;Interest in chemistry;Problem solver"
c010,Data Scientist,Data AI & Analytics,IA,"[""Mathematics"",""Computer Science"",""Statistics""]","[""data"",""new_age""]",B.Sc/B.Tech,"B.Sc Statistics,B.Tech CS (AI),B.Stat,Integrated M.Tech Data Science,BCA + PG Diploma Data Science","Work on data to build models and find insights. Great for people who love math and problem-solving.","Kaggle beginner model;Sentiment analysis on tweets","Strong analytical;Comfort with math & coding;Curious about patterns"
c011,Machine Learning Engineer,Data AI & Analytics,IA,"[""Mathematics"",""Computer Science""]","[""ml"",""new_age""]",B.Tech / M.Tech,"B.Tech CS (AI),B.Sc Computer Science,Integrated M.Tech (AI),B.Tech + PGDSAI,Online specialization","Builds and deploys ML models. Ideal for students who like coding + maths.","Train a simple classifier;Implement linear regression project","Strong math skills;Likes coding;Research/experiment tendency"
c012,Data Analyst,Data AI & Analytics,IA,"[""Mathematics"",""Statistics"",""Computer Science""]","[""analytics""]",B.Sc / BCA,"B.Sc Economics (with stats),B.Sc Statistics,BCA,B.Com(H),PG Diploma Analytics","Analyzes data to create business insights. Useful for students who like spreadsheets and storytelling.","Sales data dashboard in Excel;Analyze school exam trends","Comfort with numbers;Good communication;Curiosity"
c013,AI Ethics Officer,Data AI & Analytics,AE,"[""English"",""Social Studies""]","[""ethics"",""policy"",""new_age""]",MA / PG,"MA Philosophy,MA Ethics,LLB + specialization,PG Diploma Data Ethics,MA Sociology","Works at the intersection of technology and ethics. Good for students interested in AI and society.","Write a short policy brief on AI fairness;Host a debate on AI ethics","Interest in society;Good writing;Values-driven"
c014,NLP Engineer,Data AI & Analytics,IA,"[""Computer Science"",""Mathematics"",""English""]","[""nlp"",""new_age""]",B.Tech / M.Tech,"B.Tech CS (NLP),BSc CS + NLP electives,Integrated M.Tech (NLP),M.Tech CS,PG Diploma NLP","Builds systems that understand language. Ideal for coding + language lovers.","Build a chatbot;Sentiment analysis for news articles","Loves language & coding;Analytical;Research leaning"
